bon_id;kunde;tag;verkaufsstunde;verkaufspositionsnr;referenzcluster;plz;stadt;bruttowert;edeka_oberwarengruppe;edeka_warengruppe;warengruppe_text;artikel;artikel_text
"20210518-071046-0000000002-00000000000000008391;71046;20210518;17;9;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000002-00000000000000008391;71046;20210518;17;10;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000002-00000000000000008391;71046;20210518;17;22;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210518-071046-0000000002-00000000000000008391;71046;20210518;17;23;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210518-071046-0000000002-00000000000000008426;71046;20210518;18;5;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;3499060007;Maggi GAP Hochzeits Suppe f.1l"
"20210518-071046-0000000002-00000000000000008468;71046;20210518;19;4;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210518-071046-0000000002-00000000000000008468;71046;20210518;19;5;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210518-071046-0000000002-00000000000000008474;71046;20210518;19;8;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2386720004;Maggi Fix Makkaroni Lasagne 40g"
"20210518-071046-0000000002-00000000000000008474;71046;20210518;19;7;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;3626166004;Maggi Fix Lasagne 43g"
"20210518-071046-0000000002-00000000000000008476;71046;20210518;19;5;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;2876585001;Maggi GAP Rindfleisch Suppe f.1l"
"20210518-071046-0000000002-00000000000000008476;71046;20210518;19;6;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;2876585001;Maggi GAP Rindfleisch Suppe f.1l"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;16;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398974009;Knorr Fix Paprika Rahmschnitzel 43g"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;17;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398974009;Knorr Fix Paprika Rahmschnitzel 43g"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;18;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398974009;Knorr Fix Paprika Rahmschnitzel 43g"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;14;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;15;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000002-00000000000000008484;71046;20210518;20;19;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000003-00000000000000009359;71046;20210518;9;5;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;130080006;Maggi Soße zu Braten f.3x250ml"
"20210518-071046-0000000003-00000000000000009400;71046;20210518;10;2;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;3626165001;Maggi Fix Lachs Sahne Gratin 26g"
"20210518-071046-0000000003-00000000000000009406;71046;20210518;10;2;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399466006;Knorr Fix Pilz Rahmgeschnetzeltes 40g"
"20210518-071046-0000000003-00000000000000009418;71046;20210518;10;10;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210518-071046-0000000003-00000000000000009418;71046;20210518;10;11;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399476003;Knorr Fix Wikingertopf m.Hackbäll.30g"
"20210518-071046-0000000003-00000000000000009418;71046;20210518;10;12;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399476003;Knorr Fix Wikingertopf m.Hackbäll.30g"
"20210522-071026-0000000001-00000000000000004908;71026;20210522;8;5;3;56072;Koblenz;1.990;200500;200503;TK-Spinat;4441752003;Iglo Rahm Spinat portionierbar 750g"
"20210518-071046-0000000003-00000000000000009495;71046;20210518;13;2;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;3031514007;Maggi Deli.Sauce zu Braten f.3x250ml"
"20210522-071026-0000000001-00000000000000004978;71026;20210522;9;16;3;56072;Koblenz;0.690;200500;200504;TK-Kräuter;803436006;Bio E.Petersilie  50g"
"20210518-071046-0000000003-00000000000000009499;71046;20210518;13;9;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;3626173002;Maggi Fix Rouladen 33g"
"20210522-071026-0000000001-00000000000000004978;71026;20210522;9;35;3;56072;Koblenz;1.190;200500;200501;TK-Monogemüse;2911464007;Bio E.Junge Erbsen 450g"
"20210518-071046-0000000003-00000000000000009502;71046;20210518;13;2;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;3031514007;Maggi Deli.Sauce zu Braten f.3x250ml"
"20210522-071026-0000000001-00000000000000005053;71026;20210522;11;27;3;56072;Koblenz;0.990;200500;200501;TK-Monogemüse;1340407005;E.Broccoli 300g"
"20210518-071046-0000000003-00000000000000009509;71046;20210518;13;2;1;46537;Dinslaken;0.850;220300;220303;Fertigsoßen;190987000;Knorr FSM Zitronen But.Sauce f.250ml 52g"
"20210522-071026-0000000001-00000000000000005053;71026;20210522;11;28;3;56072;Koblenz;1.190;200500;200501;TK-Monogemüse;4166866003;Bio E.Blumenkohl 450g"
"20210518-071046-0000000003-00000000000000009509;71046;20210518;13;3;1;46537;Dinslaken;0.850;220300;220303;Fertigsoßen;190987000;Knorr FSM Zitronen But.Sauce f.250ml 52g"
"20210522-071026-0000000001-00000000000000005056;71026;20210522;11;3;3;56072;Koblenz;1.990;200500;200503;TK-Spinat;4441752003;Iglo Rahm Spinat portionierbar 750g"
"20210518-071046-0000000003-00000000000000009597;71046;20210518;15;8;1;46537;Dinslaken;1.790;220300;220309;Gekörnte Brühe;3785274002;Knorr Gemüse Bouillon f.6l 120g"
"20210522-071026-0000000001-00000000000000005098;71026;20210522;12;2;3;56072;Koblenz;0.590;200500;200502;TK-Gemüsemischungen;4624811004;G&G Buttergemüse 300g"
"20210518-071046-0000000003-00000000000000009598;71046;20210518;15;9;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210522-071026-0000000001-00000000000000005109;71026;20210522;12;3;3;56072;Koblenz;1.990;200500;200502;TK-Gemüsemischungen;1296499008;Iglo Rahm-Gemüse Wirsing 500g"
"20210518-071046-0000000003-00000000000000009598;71046;20210518;15;10;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210522-071026-0000000001-00000000000000005159;71026;20210522;13;2;3;56072;Koblenz;1.190;200500;200501;TK-Monogemüse;4504635009;Bio E.Karottenscheiben 450g"
"20210518-071046-0000000003-00000000000000009645;71046;20210518;17;13;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210522-071026-0000000001-00000000000000005159;71026;20210522;13;1;3;56072;Koblenz;1.190;200500;200502;TK-Gemüsemischungen;4505343006;Bio E.Kaisergemüse 450g"
"20210518-071046-0000000003-00000000000000009645;71046;20210518;17;14;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
